Year,Maha Total Rainfall,Maha Temp Average,Maha Average Of Max Temp,Maha Highest Monthly  Average of MaxTemp,Maha Average Of Min Temp,Maha Lowest Monthly  Average of Min Temp
1993,1089.462857,25.89693184,28.27450635,30.38228111,24.17234208,23.42232719
1994,371.0621429,26.52620998,29.68818799,32.20965438,24.32493873,23.85028061
1995,175.0678571,27.1073385,30.70906481,33.58347619,24.59581407,23.73352535
1996,168.3271429,27.02372889,31.07742784,32.86435484,24.11239279,23.19635945
1997,674.0878571,26.78591721,29.66212711,32.82815668,24.72872977,24.05168203
1998,981.3085714,26.15907757,28.84994406,32.15161905,24.17760385,23.17822581
1999,592.6878571,26.16733129,29.05257987,32.6902381,24.13593711,23.49624424
2000,763.46,26.24158588,29.30609965,32.31345238,23.98279893,22.47645408
2001,684.3807143,26.44476988,29.3023396,32.97490476,24.41619657,23.57603687
2002,966.2364286,26.14558583,28.61396796,34.331,24.36422228,23.51612903
2003,688.7514286,26.66466021,29.74863749,33.76454762,24.46811009,23.82251232
2004,1159.78,26.09486693,28.36260125,31.72835714,24.4122532,23.82539171
2005,1036.919286,25.96984646,28.46750208,33.06638095,24.11087855,23.03036866
2006,1143.823571,25.94959046,28.60525546,31.52780952,24.01780068,23.41700461
2007,1249.224286,25.8657035,28.32117792,31.793,24.03916144,23.39686636
2008,738.7221429,26.39796917,29.49802133,33.1387381,24.14862937,23.15936224
2009,1156.743571,26.38955623,29.0920358,33.07640476,24.39307643,23.58774194
2010,2586.390714,25.70887061,27.89957214,31.25161905,24.05033115,23.53142857
2011,1238.89,26.07680625,28.62745408,32.5545,24.15167425,23.01684332
2012,1939.213571,26.06316273,28.33867678,32.57861905,24.37826853,23.62760369
2013,735.4485714,26.33954102,29.35072016,32.25621429,24.19996696,23.38967742
2014,1808.975,25.93661199,28.23494824,32.70495238,24.24085779,23.25034562
2015,1357.061429,26.50758336,28.88445979,31.09980952,24.74973097,24.16645161
2016,784.9064286,26.57604456,29.81298631,34.44840476,24.22433119,23.18953917
2017,1006.865714,26.19199037,28.83142909,31.81454762,24.22117298,22.94993088
2018,760.31,26.33703723,29.05429558,32.61866667,24.3317551,23.2812212
2019,1154.954286,26.42405509,28.92884445,31.34601382,24.55373737,24.01456221
2020,1262.11,26.39915352,28.96175645,32.38126728,24.53427254,23.93048469
2021,1450.32,26.25124986,28.6963107,31.18352381,24.37988808,23.78764977
2022,1326.200714,25.88163308,28.23610263,31.06242857,24.10643566,23.26592166
2023,1838.819286,26.69141079,28.95989818,31.16,25.01307058,24.41225806
