YEAR, MAINLY BY TRACTOR , BUFFALOE PLOUGHED , BUFFALOE MUDDED , BY MAMOTEE , MANNUAL , MACHINE , SCORE MAINLY BY TRACTOR , SCORE BUFFALOE PLOUGHED , SCORE BUFFALOE MUDDED , SCORE BY MAMOTEE , SCORE MANNUAL , SCORE MACHINE , CHEMICAL ONLY , ORGANIC ONLY , BOTH , NONE , SCORE CHEMICAL ONLY , SCORE ORGANIC ONLY , SCORE BOTH , SCORE NONE , HAND , WEEDICIDE , WATER , NONE , SCORE HAND , SCORE WEEDICIDE , SCORE WATER , SCORE NONE , USED , NOT USED , SCORE USED , SCORE NOT USED , SHORT  GRAIN RED , LONG GRAIN RED , SHORT GRAIN WHITE , LONG GRAIN WHITE , OTHERS , SCORE SHORT  GRAIN RED , SCORE LONG GRAIN RED , SCORE SHORT GRAIN WHITE , SCORE  LONG GRAIN WHITE , SCORE OTHERS ,TOTALTECHNOLOGYSCORE,TOTALFERTILIZERSCORE,TOTALWEEDINGSCORE,TOTALINSECTICIDESSCORE,TOTALSEEDSCORE,AverageYieldKgPERha
2015,99.80%,0.20%,0.00%,0.00%,31.30%,68.70%,15.968,0.028,0,0,4.695,10.992,51.70%,0.00%,48.30%,0.00%,2.07, -   ,2.42, -   ,1.40%,97.50%,1.10%,0.00%,0.04,3.9,0.02, -   ,50.70%,49.30%,1.01, -   ,0.00%,0.00%,22.30%,77.70%,0.00%, -   , -   ,0.89,3.89, -   ,31.68,4.48,3.96,1.01,4.78,5131
2016,95.70%,4.30%,0.00%,0.00%,13.00%,87.00%,15.312,0.602,0,0,1.95,13.92,50.80%,0.00%,49.10%,0.10%,2.03, -   ,2.46, -   ,2.20%,95.70%,0.90%,1.20%,0.07,3.83,0.02, -   ,46.30%,53.70%,0.93, -   ,7.50%,0.40%,38.10%,54.00%,0.00%,0.23,0.02,1.52,2.7, -   ,31.78,4.49,3.91,0.93,4.47,5047
2017,98.70%,1.30%,0.00%,0.00%,8.30%,91.70%,15.792,0.182,0,0,1.245,14.672,56.40%,2.30%,41.30%,0.00%,2.26,0.07,2.07, -   ,1.40%,98.10%,0.50%,0.00%,0.04,3.92,0.01, -   ,62.20%,37.80%,1.24, -   ,2.70%,0.50%,28.80%,68.00%,0.00%,0.08,0.02,1.15,3.4, -   ,31.89,4.39,3.98,1.24,4.65,4878
2018,98.00%,2.00%,0.00%,0.00%,5.70%,94.30%,15.68,0.28,0,0,0.855,15.088,43.10%,0.00%,55.90%,1.00%,1.72, -   ,2.8, -   ,5.30%,94.70%,0.00%,0.00%,0.16,3.79, -   , -   ,80.80%,19.20%,1.62, -   ,0.00%,0.00%,69.90%,30.10%,0.00%, -   , -   ,2.8,1.51, -   ,31.9,4.52,3.95,1.62,4.3,5070
2019,98.10%,1.90%,0.00%,0.00%,11.50%,88.50%,15.696,0.266,0,0,1.725,14.16,66.90%,0.00%,33.10%,0.00%,2.68, -   ,1.66, -   ,2.20%,96.00%,1.10%,0.70%,0.07,3.84,0.02, -   ,36.80%,63.20%,0.74, -   ,0.60%,0.40%,47.40%,45.80%,5.80%,0.02,0.02,1.9,2.29,0.12,31.85,4.33,3.93,0.74,4.34,5511
2020,99.20%,0.80%,0.00%,0.00%,8.70%,91.30%,15.872,0.112,0,0,1.305,14.608,55.40%,0.00%,43.60%,1.00%,2.22, -   ,2.18, -   ,1.00%,97.10%,0.80%,1.10%,0.03,3.88,0.02, -   ,56.40%,43.60%,1.13, -   ,0.10%,0.30%,24.00%,75.50%,0.10%,0,0.01,0.96,3.78,0,31.9,4.4,3.93,1.13,4.75,5244
2021,97.40%,0.00%,0.00%,2.60%,5.60%,94.40%,15.584,0,0,0.364,0.84,15.104,61.10%,0.80%,38.00%,0.00%,2.44,0.02,1.9, -   ,4.60%,94.90%,0.00%,0.50%,0.14,3.8, -   , -   ,35.80%,64.20%,0.72, -   ,1.10%,0.80%,38.40%,59.80%,0.10%,0.03,0.03,1.54,2.99,0,31.89,4.37,3.93,0.72,4.59,5441
2022,100.00%,0.00%,0.00%,0.00%,5.40%,94.60%,16,0,0,0,0.81,15.136,5.40%,3.40%,91.20%,0.00%,0.22,0.1,4.56, -   ,1.80%,94.60%,1.20%,2.40%,0.05,3.78,0.02, -   ,26.50%,73.50%,0.53, -   ,0.00%,0.20%,34.60%,65.30%,0.00%, -   ,0.01,1.38,3.27, -   ,31.95,4.88,3.86,0.53,4.66,4288
2023,94.60%,0.00%,0.00%,5.40%,3.90%,96.10%,15.136,0,0,0.756,0.585,15.376,55.30%,0.60%,46.10%,0.00%,2.21,0.02,2.31, -   ,5.90%,92.80%,1.10%,0.10%,0.18,3.71,0.02, -   ,48.00%,52.00%,0.96, -   ,0.00%,0.30%,26.58%,71.40%,2.00%, -   ,0.01,1.06,3.57,0.04,31.85,4.54,3.91,0.96,4.69,4918
