YEAR, MAINLY BY TRACTOR , BUFFALOE PLOUGHED , BUFFALOE MUDDED , BY MAMOTEE , MANNUAL , MACHINE , SCORE MAINLY BY TRACTOR , SCORE BUFFALOE PLOUGHED , SCORE BUFFALOE MUDDED , SCORE BY MAMOTEE , SCORE MANNUAL , SCORE MACHINE , CHEMICAL ONLY , ORGANIC ONLY , BOTH , NONE , SCORE CHEMICAL ONLY , SCORE ORGANIC ONLY , SCORE BOTH , SCORE NONE , HAND , WEEDICIDE , WATER , NONE , SCORE HAND , SCORE WEEDICIDE , SCORE WATER , SCORE NONE , USED , NOT USED , SCORE USED , SCORE NOT USED , SHORT  GRAIN RED , LONG GRAIN RED , SHORT GRAIN WHITE , LONG GRAIN WHITE , OTHERS , SCORE SHORT  GRAIN RED , SCORE LONG GRAIN RED , SCORE SHORT GRAIN WHITE , SCORE  LONG GRAIN WHITE , SCORE OTHERS ,TOTALTECHNOLOGYSCORE,TOTALFERTILIZERSCORE,TOTALWEEDINGSCORE,TOTALINSECTICIDESSCORE,TOTALSEEDSCORE,AverageYieldKgPERha
2015,99.50%,0.50%,0.00%,0.00%,23.20%,76.80%,15.92,0.07,0,0,3.48,12.288,82.70%,0.00%,16.80%,0.50%,3.31, -   ,0.84, -   ,6.30%,90.70%,1.70%,1.30%,0.19,3.63,0.03, -   ,61.60%,38.40%,1.23, -   ,0.10%,0.00%,17.70%,81.50%,0.70%,0, -   ,0.71,4.08,0.01,31.76,4.15,3.85,1.23,4.8,4612
2016,99.70%,0.30%,0.00%,0.00%,27.80%,72.20%,15.952,0.042,0,0,4.17,11.552,80.50%,0.10%,19.40%,0.00%,3.22,0,0.97, -   ,4.20%,91.90%,1.30%,2.60%,0.13,3.68,0.03, -   ,61.00%,39.00%,1.22, -   ,5.40%,0.40%,18.60%,75.10%,0.50%,0.16,0.02,0.74,3.76,0.01,31.72,4.19,3.83,1.22,4.69,4295
2017,99.60%,0.40%,0.00%,0.00%,25.50%,74.50%,15.936,0.056,0,0,3.825,11.92,74.50%,1.20%,23.70%,0.60%,2.98,0.04,1.19, -   ,4.40%,93.80%,1.20%,0.60%,0.13,3.75,0.02, -   ,54.10%,45.90%,1.08, -   ,1.40%,0.60%,20.70%,76.90%,0.40%,0.04,0.02,0.83,3.85,0.01,31.74,4.2,3.91,1.08,4.75,3909
2018,99.50%,0.50%,0.00%,0.00%,8.30%,91.70%,15.92,0.07,0,0,1.245,14.672,84.10%,0.00%,15.50%,0.40%,3.36, -   ,0.78, -   ,3.10%,92.50%,3.20%,1.20%,0.09,3.7,0.06, -   ,56.70%,43.30%,1.13, -   ,2.30%,0.40%,26.00%,71.30%,0.00%,0.07,0.02,1.04,3.57, -   ,31.91,4.14,3.86,1.13,4.69,5262
2019,100.00%,0.00%,0.00%,0.00%,4.30%,95.70%,16,0,0,0,0.645,15.312,69.10%,0.00%,30.90%,0.00%,2.76, -   ,1.55, -   ,2.00%,98.00%,0.00%,0.00%,0.06,3.92, -   , -   ,53.60%,46.40%,1.07, -   ,0.00%,0.00%,26.40%,73.60%,0.00%, -   , -   ,1.06,3.68, -   ,31.96,4.31,3.98,1.07,4.74,5119
2020,99.40%,0.60%,0.00%,0.00%,8.40%,91.60%,15.904,0.084,0,0,1.26,14.656,74.30%,0.80%,24.90%,0.00%,2.97,0.02,1.25, -   ,3.80%,94.30%,1.50%,0.40%,0.11,3.77,0.03, -   ,67.90%,32.10%,1.36, -   ,0.10%,0.00%,7.10%,92.10%,0.70%,0, -   ,0.28,4.61,0.01,31.9,4.24,3.92,1.36,4.91,4936
2021,99.80%,0.10%,0.00%,0.10%,6.70%,93.30%,15.968,0.014,0,0.014,1.005,14.928,85.70%,0.60%,13.80%,0.00%,3.43,0.02,0.69, -   ,6.50%,83.30%,3.10%,1.00%,0.2,3.33,0.06, -   ,55.10%,44.90%,1.1, -   ,0.00%,1.90%,17.00%,81.10%,0.00%, -   ,0.08,0.68,4.06, -   ,31.93,4.14,3.59,1.1,4.81,4691
2022,99.80%,0.10%,0.00%,0.10%,5.80%,94.20%,15.968,0.014,0,0.014,0.87,15.072,19.90%,11.30%,64.00%,4.80%,0.8,0.34,3.2, -   ,8.40%,79.00%,5.50%,7.10%,0.25,3.16,0.11, -   ,37.00%,63.00%,0.74, -   ,0.10%,2.50%,6.40%,88.20%,3.00%,0,0.1,0.26,4.41,0.06,31.94,4.34,3.52,0.74,4.83,3248
2023,99.90%,0.00%,0.00%,0.10%,8.50%,91.50%,15.984,0,0,0.014,1.275,14.64,81.30%,0.40%,18.00%,0.20%,3.25,0.01,0.9, -   ,2.50%,93.90%,1.20%,2.40%,0.08,3.76,0.02, -   ,58.50%,41.50%,1.17, -   ,0.10%,0.90%,13.70%,85.20%,0.00%,0,0.04,0.55,4.26, -   ,31.91,4.16,3.86,1.17,4.85,4302
